Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2021-2022,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,24,15,"1,464",16.3,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,0.7,0.7,0.8,1.6,2,43,15,0.05,0.05,0.10,0.05,0.10
2021-2022,Ademola Lookman,ng NGA,"FW,MF",Leicester City,23,1997,26,16,"1,453",16.1,6,0,6,6,0,0,2,0,0.37,0.00,0.37,0.37,0.37,Matches,4.5,4.5,1.9,6.4,43,54,139,0.28,0.11,0.40,0.28,0.40
2021-2022,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Imran Louza,ma MAR,MF,Watford,22,1999,20,17,"1,416",15.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,1.2,1.2,1.1,2.3,17,67,24,0.08,0.07,0.15,0.08,0.15
2021-2022,Matthew Lowton,eng ENG,DF,Burnley,32,1989,25,20,"1,772",19.7,1,2,3,1,0,0,3,1,0.05,0.10,0.15,0.05,0.15,Matches,0.7,0.7,2.1,2.8,21,74,39,0.03,0.11,0.14,0.03,0.14
2021-2022,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,34,31,"2,715",30.2,2,3,5,2,0,0,7,0,0.07,0.10,0.17,0.07,0.17,Matches,2.0,2.0,2.5,4.4,28,105,44,0.07,0.08,0.15,0.07,0.15
2021-2022,Romelu Lukaku,be BEL,FW,Chelsea,28,1993,26,16,"1,589",17.7,8,0,8,7,1,1,1,0,0.45,0.00,0.45,0.40,0.40,Matches,6.6,5.8,3.0,8.8,29,19,125,0.38,0.17,0.54,0.33,0.50
2021-2022,Lyanco,br BRA,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.3,0.3,0.1,0.4,3,18,1,0.03,0.01,0.04,0.03,0.04
2021-2022,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,22,1998,33,22,"2,123",23.6,5,2,7,3,2,3,4,0,0.21,0.08,0.30,0.13,0.21,Matches,6.3,4.0,1.9,5.9,30,137,66,0.27,0.08,0.35,0.17,0.25
2021-2022,James Maddison,eng ENG,"MF,FW",Leicester City,24,1996,35,28,"2,459",27.3,12,8,20,12,0,0,3,0,0.44,0.29,0.73,0.44,0.73,Matches,7.5,7.5,5.1,12.7,53,136,141,0.28,0.19,0.46,0.28,0.46
2021-2022,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,30,28,"2,515",27.9,1,0,1,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,Matches,1.9,1.9,0.1,2.1,22,115,5,0.07,0.00,0.07,0.07,0.07
2021-2022,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,28,15,"1,498",16.6,11,5,16,7,4,5,0,0,0.66,0.30,0.96,0.42,0.72,Matches,10.1,6.2,4.2,10.4,74,70,234,0.61,0.25,0.86,0.37,0.62
2021-2022,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,8,2,268,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.3,0.3,2,15,8,0.02,0.09,0.12,0.02,0.12
2021-2022,Sadio Mané,sn SEN,FW,Liverpool,29,1992,34,32,"2,819",31.3,16,2,18,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57,Matches,17.2,17.2,5.2,22.5,105,130,305,0.55,0.17,0.72,0.55,0.72
2021-2022,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,19,15,"1,257",14.0,1,2,3,1,0,0,5,0,0.07,0.14,0.21,0.07,0.21,Matches,0.3,0.3,0.3,0.6,6,22,25,0.02,0.02,0.04,0.02,0.04
2021-2022,Fernando Marçal,br BRA,"MF,DF",Wolves,32,1989,18,17,"1,449",16.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.4,0.4,0.6,1.0,39,50,98,0.02,0.04,0.06,0.02,0.06
2021-2022,Solly March,eng ENG,"DF,FW",Brighton,27,1994,31,17,"1,746",19.4,0,2,2,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,1.2,1.2,2.3,3.5,71,69,148,0.06,0.12,0.18,0.06,0.18
2021-2022,Pablo Marí,es ESP,DF,Arsenal,27,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.1,0.2,0,9,0,0.04,0.06,0.10,0.04,0.10
2021-2022,Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,0.7,0.7,0.0,0.7,10,14,32,0.28,0.00,0.28,0.28,0.28
2021-2022,Martinelli,br BRA,"FW,MF",Arsenal,20,2001,29,21,"1,860",20.7,6,6,12,5,1,1,3,1,0.29,0.29,0.58,0.24,0.53,Matches,7.3,6.6,4.3,11.0,79,37,207,0.35,0.21,0.56,0.32,0.53
2021-2022,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,"3,240",36.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Adam Masina,ma MAR,DF,Watford,27,1994,15,13,"1,077",12.0,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,0.3,0.3,0.7,1.0,9,37,12,0.03,0.06,0.08,0.03,0.08
2021-2022,Arthur Masuaku,cd COD,"DF,FW",West Ham,27,1993,13,6,650,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,0.1,0.1,0.8,0.9,16,33,26,0.01,0.12,0.12,0.01,0.12
2021-2022,Juan Mata,es ESP,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.3,0.3,0.2,0.6,8,16,13,0.12,0.09,0.22,0.12,0.22
2021-2022,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,22,13,"1,145",12.7,5,1,6,5,0,0,2,0,0.39,0.08,0.47,0.39,0.47,Matches,5.8,5.8,1.3,7.1,16,6,46,0.46,0.10,0.56,0.46,0.56
2021-2022,Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,23,16,"1,382",15.4,0,4,4,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,Matches,0.2,0.2,2.0,2.2,32,98,7,0.01,0.13,0.14,0.01,0.14
2021-2022,Joël Matip,cm CMR,DF,Liverpool,29,1991,31,31,"2,790",31.0,3,3,6,3,0,0,2,0,0.10,0.10,0.19,0.10,0.19,Matches,3.4,3.4,1.3,4.6,55,186,7,0.11,0.04,0.15,0.11,0.15
2021-2022,Neal Maupay,fr FRA,FW,Brighton,24,1996,32,25,"2,276",25.3,8,2,10,7,1,2,7,0,0.32,0.08,0.40,0.28,0.36,Matches,8.7,7.1,2.4,9.5,21,48,164,0.34,0.10,0.44,0.28,0.38
2021-2022,Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,35,34,"2,905",32.3,4,7,11,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31,Matches,9.3,8.5,3.7,12.2,81,56,273,0.29,0.11,0.40,0.26,0.38
2021-2022,James McArthur,sct SCO,MF,Crystal Palace,33,1987,21,15,"1,439",16.0,0,3,3,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,Matches,0.3,0.3,1.4,1.7,29,84,22,0.02,0.09,0.11,0.02,0.11
2021-2022,James Mcatee,eng ENG,"MF,FW",Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.0,0.1,2,1,3,0.37,0.00,0.37,0.37,0.37
2021-2022,Kasey McAteer,eng ENG,FW,Leicester City,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Liam McCarron,sct SCO,FW,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,John McGinn,sct SCO,MF,Aston Villa,26,1994,35,35,"3,090",34.3,3,4,7,3,0,0,8,0,0.09,0.12,0.20,0.09,0.20,Matches,1.5,1.5,5.3,6.8,52,196,67,0.04,0.15,0.20,0.04,0.20
2021-2022,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00
2021-2022,Kenny McLean,sct SCO,MF,Norwich City,29,1992,31,29,"2,706",30.1,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,1.8,1.8,0.8,2.6,32,99,61,0.06,0.03,0.09,0.06,0.09
2021-2022,Dwight McNeil,eng ENG,MF,Burnley,21,1999,38,35,"3,107",34.5,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,2.3,2.3,4.6,6.9,93,104,112,0.07,0.13,0.20,0.07,0.20
2021-2022,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,30,28,"2,387",26.5,1,1,2,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,Matches,1.4,1.4,1.5,2.9,40,125,37,0.05,0.06,0.11,0.05,0.11
2021-2022,Ben Mee,eng ENG,DF,Burnley,31,1989,21,21,"1,839",20.4,3,0,3,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,2.3,2.3,1.0,3.4,3,38,2,0.11,0.05,0.17,0.11,0.17
2021-2022,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.0,0.1,0,0,4,0.09,0.00,0.09,0.09,0.09
2021-2022,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.1,0.1,4,9,4,0.00,0.16,0.16,0.00,0.16
2021-2022,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,"3,060",34.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,14,12,"1,032",11.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,9,36,8,0.00,0.00,0.00,0.00,0.00
2021-2022,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,"3,384",37.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.3,0.3,0.7,1.0,2,37,4,0.03,0.08,0.11,0.03,0.11
2021-2022,James Milner,eng ENG,"MF,DF",Liverpool,35,1986,24,9,853,9.5,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,0.4,0.4,2.2,2.5,9,73,38,0.04,0.23,0.26,0.04,0.26
2021-2022,Yerry Mina,co COL,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.3,0.3,0.0,0.3,1,20,2,0.03,0.00,0.03,0.03,0.03
2021-2022,Takumi Minamino,jp JPN,"FW,MF",Liverpool,26,1995,11,1,186,2.1,3,0,3,3,0,0,1,0,1.45,0.00,1.45,1.45,1.45,Matches,1.6,1.6,0.5,2.2,2,5,15,0.79,0.25,1.04,0.79,1.04
2021-2022,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,36,35,"3,189",35.4,1,3,4,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,Matches,1.6,1.6,1.6,3.3,23,91,17,0.05,0.05,0.09,0.05,0.09
2021-2022,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,36,35,"3,101",34.5,0,2,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,0.2,0.2,1.7,1.9,41,134,116,0.01,0.05,0.05,0.01,0.05
2021-2022,Jakub Moder,pl POL,MF,Brighton,22,1999,28,19,"1,701",18.9,0,3,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,2.6,2.6,2.2,4.8,42,89,102,0.14,0.12,0.25,0.14,0.25
2021-2022,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Tyler Morton,eng ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Mason Mount,eng ENG,MF,Chelsea,22,1999,32,27,"2,363",26.3,11,10,21,10,1,1,4,0,0.42,0.38,0.80,0.38,0.76,Matches,8.0,7.2,6.7,14.0,92,164,276,0.31,0.26,0.56,0.28,0.53
2021-2022,Lucas Moura,br BRA,"FW,MF",Tottenham,28,1992,34,19,"1,775",19.7,2,6,8,2,0,0,4,0,0.10,0.30,0.41,0.10,0.41,Matches,2.7,2.7,5.0,7.7,48,99,87,0.14,0.25,0.39,0.14,0.39
2021-2022,João Moutinho,pt POR,MF,Wolves,34,1986,35,34,"2,970",33.0,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches,1.3,1.3,2.7,3.9,42,196,37,0.04,0.08,0.12,0.04,0.12
2021-2022,Bali Mumba,eng ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Jacob Murphy,eng ENG,"FW,DF",Newcastle Utd,26,1995,33,13,"1,473",16.4,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches,2.2,2.2,2.6,4.8,51,44,80,0.13,0.16,0.29,0.13,0.29
2021-2022,Enock Mwepu,zm ZAM,MF,Brighton,23,1998,18,12,996,11.1,2,4,6,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,Matches,2.1,2.1,1.6,3.7,22,27,44,0.19,0.14,0.33,0.19,0.33
2021-2022,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,13,12,"1,055",11.7,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,0.5,0.5,0.8,1.2,8,27,27,0.04,0.06,0.11,0.04,0.11
2021-2022,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,16,10,904,10.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,5,24,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24,1996,19,18,"1,618",18.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.7,0.7,0.0,0.8,14,57,13,0.04,0.00,0.04,0.04,0.04
2021-2022,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches,0.4,0.4,0.4,0.8,14,21,25,0.08,0.07,0.16,0.08,0.16
2021-2022,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.0,0.1,0,0,4,0.24,0.21,0.45,0.24,0.45
2021-2022,Pedro Neto,pt POR,"FW,MF",Wolves,21,2000,13,5,466,5.2,1,1,2,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,Matches,1.5,1.5,1.0,2.5,27,10,49,0.29,0.20,0.49,0.29,0.49
2021-2022,Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,"2,661",29.6,4,2,6,4,0,0,9,0,0.14,0.07,0.20,0.14,0.20,Matches,1.1,1.1,3.1,4.3,34,202,19,0.04,0.11,0.14,0.04,0.14
2021-2022,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.5,0.6,18,39,20,0.01,0.05,0.06,0.01,0.06
2021-2022,Saúl Ñíguez,es ESP,"DF,MF",Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.3,0.3,0.5,0.9,4,15,27,0.07,0.10,0.16,0.07,0.16
2021-2022,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,Matches,4.4,4.4,2.0,6.4,27,21,66,0.47,0.22,0.69,0.47,0.69
2021-2022,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,2,0,0.00,0.01,0.01,0.00,0.01
2021-2022,Mark Noble,eng ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,1,0,1,2,0,0,0.27,0.00,0.27,0.00,0.00,Matches,1.6,0.0,0.0,0.0,2,14,3,0.43,0.00,0.43,0.00,0.00
2021-2022,Mathias Normann,no NOR,MF,Norwich City,25,1996,23,20,"1,645",18.3,1,2,3,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,Matches,0.9,0.9,1.8,2.7,16,75,8,0.05,0.10,0.15,0.05,0.15
2021-2022,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,"3,054",33.9,3,4,7,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,Matches,3.8,3.8,3.3,7.1,17,169,31,0.11,0.10,0.21,0.11,0.21
2021-2022,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,0.3,0.3,0.0,0.3,2,14,0,0.03,0.00,0.03,0.03,0.03
2021-2022,Michael Olise,fr FRA,"FW,MF",Crystal Palace,19,2001,26,12,"1,141",12.7,2,5,7,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,Matches,1.7,1.7,3.9,5.6,55,63,110,0.13,0.30,0.44,0.13,0.44
2021-2022,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,0.2,0.2,0.0,0.2,6,14,1,0.06,0.00,0.06,0.06,0.06
2021-2022,Tyler Onyango,eng ENG,MF,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.15,0.00,0.15,0.15,0.15
2021-2022,Frank Onyeka,ng NGA,MF,Brentford,23,1998,20,12,"1,045",11.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.8,0.8,0.2,1.0,18,35,27,0.07,0.02,0.09,0.07,0.09
2021-2022,Divock Origi,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,3,0,0,0,0,2.03,0.00,2.03,2.03,2.03,Matches,1.5,1.5,0.0,1.5,3,2,9,1.02,0.00,1.02,1.02,1.02
2021-2022,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27,1993,17,9,785,8.7,2,1,3,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches,1.3,1.3,1.1,2.5,34,61,63,0.15,0.13,0.28,0.15,0.28
2021-2022,Cole Palmer,eng ENG,"FW,MF",Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.4,0.4,0.2,0.6,3,3,15,0.31,0.16,0.47,0.31,0.47
2021-2022,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00
2021-2022,Thomas Partey,gh GHA,MF,Arsenal,28,1993,24,23,"2,028",22.5,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,Matches,2.8,2.8,1.0,3.8,20,119,11,0.12,0.05,0.17,0.12,0.17
2021-2022,Nicolas Pépé,ci CIV,"FW,MF",Arsenal,26,1995,20,5,696,7.7,1,2,3,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39,Matches,2.6,2.6,1.7,4.3,20,17,97,0.34,0.22,0.56,0.34,0.56
2021-2022,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,14,13,991,11.0,1,3,4,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36,Matches,0.7,0.7,1.3,2.0,28,43,34,0.06,0.12,0.18,0.06,0.18
2021-2022,Ayoze Pérez,es ESP,"MF,FW",Leicester City,28,1993,14,6,445,4.9,2,3,5,2,0,0,0,1,0.40,0.61,1.01,0.40,1.01,Matches,1.6,1.6,1.6,3.2,16,18,30,0.32,0.32,0.64,0.32,0.64
2021-2022,Sonny Perkins,eng ENG,FW,West Ham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2021-2022,Romain Perraud,fr FRA,DF,Southampton,23,1997,20,18,"1,623",18.0,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,0.5,0.5,0.7,1.2,34,48,91,0.03,0.04,0.07,0.03,0.07
2021-2022,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,20,18,"1,596",17.7,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,0.7,0.7,0.7,1.4,6,93,14,0.04,0.04,0.08,0.04,0.08
2021-2022,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,"3,150",35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Erik Pieters,nl NED,DF,Burnley,32,1988,12,8,730,8.1,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,0.2,0.2,1.0,1.2,7,15,11,0.02,0.12,0.14,0.02,0.14
2021-2022,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,32,32,"2,694",29.9,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches,1.2,1.2,1.2,2.4,11,77,18,0.04,0.04,0.08,0.04,0.08
2021-2022,Daniel Podence,pt POR,"FW,MF",Wolves,25,1995,26,15,"1,484",16.5,2,3,5,2,0,0,2,0,0.12,0.18,0.30,0.12,0.30,Matches,2.0,2.0,3.9,5.9,63,75,102,0.12,0.23,0.36,0.12,0.36
2021-2022,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,28,1993,20,16,"1,349",15.0,1,9,10,1,0,0,7,1,0.07,0.60,0.67,0.07,0.67,Matches,2.6,2.6,3.5,6.1,34,117,62,0.18,0.23,0.41,0.18,0.41
2021-2022,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,"3,240",36.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Isaac Price,nir NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0.1,0.0,0.1,0,0,1,0.56,0.00,0.56,0.56,0.56
2021-2022,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,"3,253",36.1,11,3,14,8,3,3,4,0,0.30,0.08,0.39,0.22,0.30,Matches,11.4,9.1,3.8,12.9,62,34,186,0.32,0.11,0.42,0.25,0.36
2021-2022,Christian Pulisic,us USA,"MF,FW",Chelsea,22,1998,22,13,"1,290",14.3,6,2,8,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56,Matches,4.9,4.9,1.3,6.2,44,38,108,0.34,0.09,0.43,0.34,0.43
2021-2022,Przemysław Płacheta,pl POL,"FW,MF",Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.4,0.4,0.8,1.1,19,10,35,0.07,0.14,0.20,0.07,0.20
2021-2022,Jesuran Rak Sakyi,eng ENG,"FW,MF",Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00
2021-2022,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00
2021-2022,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,34,29,"2,467",27.4,6,1,7,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,Matches,4.0,4.0,1.9,5.9,91,132,92,0.15,0.07,0.22,0.15,0.22
2021-2022,Raphinha,br BRA,"FW,MF",Leeds United,24,1996,35,34,"2,915",32.4,11,3,14,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,Matches,10.2,7.0,7.5,14.5,89,134,286,0.31,0.23,0.54,0.22,0.45
2021-2022,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,23,1997,25,13,"1,235",13.7,4,2,6,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,Matches,2.9,2.9,2.1,5.0,50,28,118,0.21,0.15,0.36,0.21,0.36
